title,url,vcn
【历史频道】恐龙探秘 2 猎杀霸王龙【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av24261886,11000
【纪录片】赛洛克 咸鱼翻身记【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av23992190,11000
【探索频道】惊天工程 之 世界最长的隧道【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av18151053,11000
【史密森尼】圣地 埃及【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av16466030,11000
【纪录片】自然世界 - 长颈鹿：非洲温和巨物【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av9071916,11000
【国家地理】希腊人 第三集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6576628,11000
【国家地理】最后的狮子【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6351644,11000
【纪录片】古罗马的瑰宝 第三集 帝国的反击【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5089692,11000
【纪录片】空中生灵 第二集 飞行大师【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4743619,11000
【纪录片】丛林动物医院【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4666814,11000
【Getty Images TV】巨型建造系列【中文特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av27043197,10000
【纪录片】波多黎各 魅力之岛 【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av18354198,10000
【Eden】美国国家航空航天局十大成就 上 【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av16583103,10000
【纪录片】人类登陆火星 - 前往红色行星的任务【720p】【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av13579159,10000
【SKY】微型猛兽 第七集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av8035803,10000
【Sky频道】与大卫·爱登堡畅游植物王国第二集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5807141,10000
【国家地理】北欧野生风情录第一集复苏【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5399149,10000
【纪录片】空中生灵 之 挑战重力 【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4378894,10000
【纪录片】美国司法 1【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av26750090,9991
【探索频道】 机器大拆解 之 舷外发动机  气动扳手及圆珠笔【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av24982736,9990
【探索频道】飞行年代 3【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av20994423,9838
【纪录片】艺术爱好者指南 之 阿姆斯特丹【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av14152766,9777
【国家地理】野性印度的秘密 第一集【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av8451930,9774
